	mean	sd	0.320377	0.000000	0.313253	0.000000	0.317462	0.000000	0.323181	0.000000	0.327947	0.000000	0.323181	0.000000	0.313253	0.000000	0.321765	0.000000	0.330409	0.000000	0.303402	0.000000	0.323437	0.000000	0.323181	0.000000	0.323470	0.000000	0.316367	0.000000	0.328561	0.000000	0.303392	0.000000	0.324418	0.000000	0.319087	0.000000	0.327947	0.000000	0.318828	0.000000	0.313253	0.000000
simple	0.452957	0.033381	0.486818	0.000002	0.417757	0.000057	0.382581	0.000255	0.473245	0.000004	0.466974	0.000005	0.473245	0.000004	0.417757	0.000057	0.466974	0.000005	0.466974	0.000005	0.417757	0.000057	0.501218	0.000001	0.473245	0.000004	0.473245	0.000004	0.466974	0.000005	0.473245	0.000004	0.397573	0.000137	0.438710	0.000021	0.466974	0.000005	0.507379	0.000001	0.425688	0.000039	0.417757	0.000057
pred	0.276591	0.029529	0.273891	0.000009	0.241345	0.000096	0.268948	0.000013	0.284889	0.000004	0.284771	0.000004	0.284889	0.000004	0.241345	0.000096	0.346456	0.000000	0.284810	0.000004	0.235646	0.000141	0.284771	0.000004	0.284889	0.000004	0.323973	0.000000	0.268287	0.000014	0.329100	0.000000	0.241345	0.000096	0.252297	0.000044	0.279300	0.000006	0.295918	0.000001	0.260203	0.000025	0.241345	0.000096
adjunct	0.393712	0.017407	0.398246	0.000000	0.384720	0.000000	0.418010	0.000000	0.386875	0.000000	0.398096	0.000000	0.386875	0.000000	0.384720	0.000000	0.363972	0.000000	0.420338	0.000000	0.372617	0.000000	0.425978	0.000000	0.386875	0.000000	0.385170	0.000000	0.392544	0.000000	0.381711	0.000000	0.372617	0.000000	0.425560	0.000000	0.384419	0.000000	0.398096	0.000000	0.415790	0.000000	0.384720	0.000000
argument types	0.285650	0.015369	0.280852	0.000000	0.268840	0.000000	0.283051	0.000000	0.291616	0.000000	0.310547	0.000000	0.291616	0.000000	0.268840	0.000000	0.297093	0.000000	0.302395	0.000000	0.255073	0.000000	0.288335	0.000000	0.291616	0.000000	0.301682	0.000000	0.278027	0.000000	0.314391	0.000000	0.258723	0.000000	0.290263	0.000000	0.277552	0.000000	0.292642	0.000000	0.286649	0.000000	0.268840	0.000000
arg altern	0.274210	0.014473	0.271182	0.000000	0.256638	0.000000	0.275754	0.000000	0.294419	0.000000	0.280567	0.000000	0.294419	0.000000	0.256638	0.000000	0.287435	0.000000	0.280967	0.000000	0.246049	0.000000	0.267750	0.000000	0.294419	0.000000	0.287251	0.000000	0.260715	0.000000	0.277207	0.000000	0.252598	0.000000	0.278808	0.000000	0.270936	0.000000	0.277382	0.000000	0.290627	0.000000	0.256638	0.000000
imperative	0.421813	0.117447	0.371429	0.234533	0.371429	0.234533	0.371429	0.234533	0.371429	0.234533	0.371429	0.234533	0.371429	0.234533	0.371429	0.234533	0.597614	0.040157	0.597614	0.040157	0.371429	0.234533	0.239046	0.454301	0.371429	0.234533	0.597614	0.040157	0.371429	0.234533	0.597614	0.040157	0.371429	0.234533	0.371429	0.234533	0.371429	0.234533	0.714286	0.009059	0.314286	0.319787	0.371429	0.234533
bind	0.221091	0.024940	0.201078	0.026998	0.209670	0.020991	0.194713	0.032344	0.222004	0.014392	0.222004	0.014392	0.222004	0.014392	0.209670	0.020991	0.255677	0.004648	0.242797	0.007289	0.209670	0.020991	0.222004	0.014392	0.222004	0.014392	0.284067	0.001591	0.201078	0.026998	0.263478	0.003501	0.209670	0.020991	0.194713	0.032344	0.201078	0.026998	0.257396	0.004370	0.188463	0.038437	0.209670	0.020991
question	0.178888	0.015545	0.187102	0.005162	0.193573	0.003788	0.187395	0.005091	0.174350	0.009240	0.174350	0.009240	0.174350	0.009240	0.193573	0.003788	0.137345	0.040900	0.168138	0.012109	0.193573	0.003788	0.155329	0.020593	0.174350	0.009240	0.162511	0.015358	0.174373	0.009230	0.181329	0.006749	0.187160	0.005148	0.180952	0.006866	0.199777	0.002790	0.162105	0.015620	0.201435	0.002567	0.193573	0.003788
comp clause	0.318266	0.015631	0.309450	0.000014	0.317000	0.000008	0.324622	0.000005	0.339574	0.000002	0.324489	0.000005	0.339574	0.000002	0.317000	0.000008	0.327302	0.000004	0.302119	0.000023	0.302218	0.000023	0.302119	0.000023	0.339574	0.000002	0.334343	0.000002	0.309281	0.000014	0.341405	0.000001	0.302218	0.000023	0.317000	0.000008	0.309281	0.000014	0.280286	0.000090	0.327732	0.000004	0.317000	0.000008
aux	0.306776	0.015503	0.323476	0.000000	0.298380	0.000000	0.307309	0.000000	0.319434	0.000000	0.329349	0.000000	0.319434	0.000000	0.298380	0.000000	0.277304	0.000000	0.315409	0.000000	0.280924	0.000000	0.301516	0.000000	0.319434	0.000000	0.288895	0.000000	0.318593	0.000000	0.309615	0.000000	0.285655	0.000000	0.329797	0.000000	0.322678	0.000000	0.291581	0.000000	0.306743	0.000000	0.298380	0.000000
to-VP	0.287639	0.022083	0.280194	0.000215	0.298321	0.000078	0.316721	0.000026	0.298769	0.000076	0.265030	0.000478	0.298769	0.000076	0.298321	0.000078	0.251027	0.000960	0.261628	0.000568	0.316721	0.000026	0.269314	0.000383	0.298769	0.000076	0.246664	0.001184	0.287852	0.000141	0.268752	0.000395	0.316721	0.000026	0.319075	0.000022	0.295566	0.000091	0.257517	0.000698	0.296363	0.000087	0.298321	0.000078
N, Adj	0.249491	0.017633	0.250359	0.000024	0.241648	0.000047	0.270359	0.000005	0.257923	0.000013	0.247925	0.000029	0.257923	0.000013	0.241648	0.000047	0.274510	0.000003	0.249034	0.000027	0.224954	0.000155	0.249034	0.000027	0.257923	0.000013	0.275578	0.000003	0.262396	0.000009	0.272105	0.000004	0.224954	0.000155	0.244451	0.000038	0.250359	0.000024	0.244618	0.000037	0.199950	0.000800	0.241648	0.000047
S-Syntax	0.246962	0.011984	0.260450	0.000008	0.254533	0.000013	0.254533	0.000013	0.245918	0.000026	0.239196	0.000044	0.245918	0.000026	0.254533	0.000013	0.219777	0.000179	0.260450	0.000008	0.247174	0.000024	0.242081	0.000035	0.245918	0.000026	0.225070	0.000124	0.227579	0.000103	0.255682	0.000012	0.241757	0.000036	0.263470	0.000006	0.260450	0.000008	0.252564	0.000015	0.234613	0.000062	0.254533	0.000013
Det	0.148555	0.025965	0.162955	0.029756	0.132190	0.078588	0.117648	0.117819	0.162955	0.029756	0.198261	0.007981	0.162955	0.029756	0.132190	0.078588	0.152830	0.041688	0.156705	0.036717	0.111184	0.139538	0.121310	0.106737	0.162955	0.029756	0.165102	0.027640	0.148437	0.047995	0.198261	0.007981	0.125756	0.094403	0.146675	0.050739	0.162955	0.029756	0.171281	0.022255	0.094857	0.207856	0.132190	0.078588
Violations	-0.032987	0.015609	-0.034061	0.682129	-0.047286	0.569539	-0.047286	0.569539	-0.034061	0.682129	-0.025006	0.763693	-0.034061	0.682129	-0.047286	0.569539	-0.015631	0.850946	-0.029566	0.722229	-0.049467	0.551847	-0.029566	0.722229	-0.034061	0.682129	-0.022697	0.784953	-0.036288	0.662574	-0.027295	0.742787	-0.049467	0.551847	-0.045100	0.587530	-0.034061	0.682129	-0.025006	0.763693	0.021800	0.793255	-0.047286	0.569539
