test MCC		0.34640,	0.44440,	0.45237,	0.44839,	0.47177,	0.46015,	0.46473,	0.46015,	0.43281,	0.42714,	0.42770,	0.40062,	0.47542,	0.48327,	0.40838,	0.38632,	0.46399,	0.45604,	0.45013,	0.45992,
test Accuracy		75.52743,	79.74684,	80.59072,	79.74684,	81.01266,	79.95781,	81.22363,	79.95781,	77.84810,	77.21519,	76.37131,	76.37131,	80.80169,	81.22363,	76.58228,	75.73840,	80.80169,	80.16878,	78.90295,	80.37975,
dev MCC	gold	0.40103,	0.47811,	0.50394,	0.46985,	0.49515,	0.46175,	0.50394,	0.45379,	0.39478,	0.40176,	0.41785,	0.40176,	0.48655,	0.46175,	0.39478,	0.40176,	0.46175,	0.48655,	0.42334,	0.48655,
elizabeth dropped the ball .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the ball dropped .	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1
david dropped the platter .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the platter dropped .	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
jessica dropped the vase .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the vase dropped .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael dropped computer .	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
computer dropped .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david tipped over the ball .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the ball tipped over .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole tipped over the platter .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the platter tipped over .	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1
michael tipped over the vase .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the vase tipped over .	1	1	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0
rebecca tipped over computer .	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	1	0	0	1
computer tipped over .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole rolled the ball .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the ball rolled .	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
jessica rolled the wheel .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the wheel rolled .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rebecca moved the car .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the car moved .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
david moved the bicycle .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the bicycle moved .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rebecca moved the truck .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the truck moved .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica moved the boat .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the boat moved .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole moved the ship .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the ship moved .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael moved the plane .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the plane moved .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason moved the cart .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the cart moved .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason maneuvered the car .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the car maneuvered .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole maneuvered the bicycle .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the bicycle maneuvered .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica maneuvered the truck .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the truck maneuvered .	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	0	1
